,ID,Location,prizeMoney,Tournament Name,singles,Outdoor/Indoor,surface,year,Name,Rank
0,451,"Doha, Qatar","$1,416,205",Doha,bd06,Outdoor,Hard,2018,Roberto Bautista Agut,168
1,451,"Doha, Qatar","$1,176,595",Doha,bd06,Outdoor,Hard,2022,Roberto Bautista Agut,168
2,319,"Kitzbuhel, Austria","€597,900",Kitzbuhel,bd06,Outdoor,Clay,2022,Roberto Bautista Agut,168
3,339,"Brisbane, Australia","$589,680",Brisbane,n552,Outdoor,Hard,2018,Kei Nishikori,154
4,891,"Pune, India","$589,680",Pune,a678,Outdoor,Hard,2018,Kevin Anderson,13
5,315,"Newport, United States","$535,535",Newport,a678,Outdoor,Grass,2021,Kevin Anderson,13
6,580,"Melbourne, Australia","A$29,687,000",Australian Open,d643,Outdoor,Hard,2019,Novak Djokovic,16
7,1536,"Madrid, Spain","€7,279,270",ATP Masters 1000 Madrid,d643,Outdoor,Clay,2019,Novak Djokovic,16
8,540,"London, Great Britain","£17,769,000",Wimbledon,d643,Outdoor,Grass,2019,Novak Djokovic,16
9,329,"Tokyo, Japan","$2,046,340",Tokyo,d643,Outdoor,Hard,2019,Novak Djokovic,16
10,352,"Paris, France","€5,791,280",ATP Masters 1000 Paris,d643,Indoor,Hard,2019,Novak Djokovic,16
11,580,"Melbourne, Australia","A$32,505,000",Australian Open,d643,Outdoor,Hard,2020,Novak Djokovic,16
12,495,"Dubai, United Arab Emirates","$2,950,420",Dubai,d643,Outdoor,Hard,2020,Novak Djokovic,16
13,422,"New York, United States","$4,674,780",ATP Masters 1000 Cincinnati,d643,Outdoor,Hard,2020,Novak Djokovic,16
14,416,"Rome, Italy","€3,854,000",ATP Masters 1000 Rome,d643,Outdoor,Clay,2020,Novak Djokovic,16
15,580,"Melbourne, Australia","A$32,790,000",Australian Open,d643,Outdoor,Hard,2021,Novak Djokovic,16
16,9512,"Belgrade, Serbia","€511,000",Belgrade 2,d643,Outdoor,Clay,2021,Novak Djokovic,16
17,520,"Paris, France","€17,171,108",Roland Garros,d643,Outdoor,Clay,2021,Novak Djokovic,16
18,540,"London, Great Britain","£17,066,000",Wimbledon,d643,Outdoor,Grass,2021,Novak Djokovic,16
19,352,"Paris, France","€5,688,155",ATP Masters 1000 Paris,d643,Indoor,Hard,2021,Novak Djokovic,16
20,416,"Rome, Italy","€6,008,725",ATP Masters 1000 Rome,d643,Outdoor,Clay,2022,Novak Djokovic,16
21,540,"London, Great Britain","£18,652,000",Wimbledon,d643,Outdoor,Grass,2022,Novak Djokovic,16
22,4138,"Tel Aviv, Israel","$1,019,855",Tel Aviv,d643,Indoor,Hard,2022,Novak Djokovic,16
23,9410,"Astana, Kazakhstan","$2,054,825",Astana,d643,Indoor,Hard,2022,Novak Djokovic,16
24,605,"Turin, Italy","$14,750,000",Nitto ATP Finals,d643,Indoor,Hard,2022,Novak Djokovic,16
25,375,"Montpellier, France","€586,140",Montpellier,t786,Indoor,Hard,2019,Jo-Wilfried Tsonga,19
26,341,"Metz, France","€586,140",Metz,t786,Indoor,Hard,2019,Jo-Wilfried Tsonga,19
27,7434,"Sofia, Bulgaria","€586,140",Sofia,mm58,Indoor,Hard,2019,Daniil Medvedev,73
28,422,"Cincinnati, United States","$6,735,690",ATP Masters 1000 Cincinnati,mm58,Outdoor,Hard,2019,Daniil Medvedev,73
29,568,"St. Petersburg, Russia","$1,248,665",St. Petersburg,mm58,Indoor,Hard,2019,Daniil Medvedev,73
30,5014,"Shanghai, China","$8,322,885",ATP Masters 1000 Shanghai,mm58,Outdoor,Hard,2019,Daniil Medvedev,73
31,352,"Paris, France","€3,732,680",ATP Masters 1000 Paris,mm58,Indoor,Hard,2020,Daniil Medvedev,73
32,605,"London, Great Britain","$5,700,000",Nitto ATP Finals,mm58,Indoor,Hard,2020,Daniil Medvedev,73
33,496,"Marseille, France","€610,315",Marseille,mm58,Indoor,Hard,2021,Daniil Medvedev,73
34,8994,"Mallorca, Spain","€783,655",Mallorca,mm58,Outdoor,Grass,2021,Daniil Medvedev,73
35,421,"Toronto, Canada","$3,487,915",ATP Masters 1000 Canada,mm58,Outdoor,Hard,2021,Daniil Medvedev,73
36,560,"New York, United States","$27,200,000",US Open,mm58,Outdoor,Hard,2021,Daniil Medvedev,73
37,7480,"Los Cabos, Mexico","$920,625",Los Cabos,mm58,Outdoor,Hard,2022,Daniil Medvedev,73
38,337,"Vienna, Austria","€2,489,935",Vienna,mm58,Indoor,Hard,2022,Daniil Medvedev,73
39,407,"Rotterdam, Netherlands","€2,098,480",Rotterdam,mc65,Indoor,Hard,2019,Gael Monfils,18
40,375,"Montpellier, France","€606,350",Montpellier,mc65,Indoor,Hard,2020,Gael Monfils,18
41,407,"Rotterdam, Netherlands","€2,155,295",Rotterdam,mc65,Indoor,Hard,2020,Gael Monfils,18
42,8998,"Adelaide, Australia","$416,800",Adelaide 1,mc65,Outdoor,Hard,2022,Gael Monfils,18
43,424,"New York, United States","$777,385",New York,o522,Indoor,Hard,2019,Reilly Opelka,91
44,499,"Delray Beach, United States","$673,655",Delray Beach,o522,Outdoor,Hard,2020,Reilly Opelka,91
45,424,"Dallas, United States","$792,980",Dallas,o522,Indoor,Hard,2022,Reilly Opelka,91
46,717,"Houston, United States","$665,330",Houston,o522,Outdoor,Clay,2022,Reilly Opelka,91
47,496,"Marseille, France","€744,010",Marseille,te51,Indoor,Hard,2019,Stefanos Tsitsipas,103
48,7290,"Estoril, Portugal","€586,140",Estoril,te51,Outdoor,Clay,2019,Stefanos Tsitsipas,103
49,605,"London, Great Britain","$9,000,000",Nitto ATP Finals,te51,Indoor,Hard,2019,Stefanos Tsitsipas,103
50,496,"Marseille, France","€769,670",Marseille,te51,Indoor,Hard,2020,Stefanos Tsitsipas,103
51,410,"Monte Carlo, Monaco","€2,460,585",ATP Masters 1000 Monte Carlo,te51,Outdoor,Clay,2021,Stefanos Tsitsipas,103
52,7694,"Lyon, France","€481,270",Lyon,te51,Outdoor,Clay,2021,Stefanos Tsitsipas,103
53,410,"Monte Carlo, Monaco","€5,802,475",ATP Masters 1000 Monte Carlo,te51,Outdoor,Clay,2022,Stefanos Tsitsipas,103
54,8994,"Mallorca, Spain","€951,745",Mallorca,te51,Outdoor,Grass,2022,Stefanos Tsitsipas,103
55,495,"Dubai, United Arab Emirates","$2,887,895",Dubai,f324,Outdoor,Hard,2019,Roger Federer,3
56,403,"Miami, United States","$9,314,875",ATP Masters 1000 Miami,f324,Outdoor,Hard,2019,Roger Federer,3
57,500,"Halle, Germany","€2,219,150",Halle,f324,Outdoor,Grass,2019,Roger Federer,3
58,328,"Basel, Switzerland","€2,219,975",Basel,f324,Indoor,Hard,2019,Roger Federer,3
59,807,"Acapulco, Mexico","$1,931,110",Acapulco,ke17,Outdoor,Hard,2019,Nick Kyrgios,39
60,418,"Washington, United States","$2,046,340",Washington,ke17,Outdoor,Hard,2019,Nick Kyrgios,39
61,418,"Washington, United States","$2,108,110",Washington,ke17,Outdoor,Hard,2022,Nick Kyrgios,39
62,404,"Indian Wells, United States","$9,314,875",ATP Masters 1000 Indian Wells,tb69,Outdoor,Hard,2019,Dominic Thiem,96
63,425,"Barcelona, Spain","€2,746,455",Barcelona,tb69,Outdoor,Clay,2019,Dominic Thiem,96
64,319,"Kitzbuhel, Austria","€586,140",Kitzbuhel,tb69,Outdoor,Clay,2019,Dominic Thiem,96
65,747,"Beijing, China","$3,666,275",Beijing,tb69,Outdoor,Hard,2019,Dominic Thiem,96
66,337,"Vienna, Austria","€2,433,810",Vienna,tb69,Indoor,Hard,2019,Dominic Thiem,96
67,560,"New York, United States","$21,656,000",US Open,tb69,Outdoor,Hard,2020,Dominic Thiem,96
68,360,"Marrakech, Morocco","€586,140",Marrakech,pd31,Outdoor,Clay,2019,Benoit Paire,38
69,7694,"Lyon, France","€586,140",Lyon,pd31,Outdoor,Clay,2019,Benoit Paire,38
70,410,"Monte Carlo, Monaco","€5,585,030",ATP Masters 1000 Monte Carlo,f510,Outdoor,Clay,2019,Fabio Fognini,129
71,7648,"Budapest, Hungary","€586,140",Budapest,bk40,Outdoor,Clay,2019,Matteo Berrettini,136
72,321,"Stuttgart, Germany","€754,540",Stuttgart,bk40,Outdoor,Grass,2019,Matteo Berrettini,136
73,5053,"Belgrade, Serbia","€711,800",Belgrade 1,bk40,Outdoor,Clay,2021,Matteo Berrettini,136
74,311,"London, Great Britain","€1,427,455",London / Queen's Club,bk40,Outdoor,Grass,2021,Matteo Berrettini,136
75,321,"Stuttgart, Germany","€769,645",Stuttgart,bk40,Outdoor,Grass,2022,Matteo Berrettini,136
76,311,"London, Great Britain","€2,275,275",London / Queen's Club,bk40,Outdoor,Grass,2022,Matteo Berrettini,136
77,416,"Rome, Italy","€5,791,280",ATP Masters 1000 Rome,n409,Outdoor,Clay,2019,Rafael Nadal,57
78,520,"Paris, France","€20,060,000",Roland Garros,n409,Outdoor,Clay,2019,Rafael Nadal,57
79,421,"Montreal, Canada","$6,338,885",ATP Masters 1000 Canada,n409,Outdoor,Hard,2019,Rafael Nadal,57
80,560,"New York, United States","$28,619,350",US Open,n409,Outdoor,Hard,2019,Rafael Nadal,57
81,807,"Acapulco, Mexico","$2,000,845",Acapulco,n409,Outdoor,Hard,2020,Rafael Nadal,57
82,520,"Paris, France","€18,209,040",Roland Garros,n409,Outdoor,Clay,2020,Rafael Nadal,57
83,425,"Barcelona, Spain","€1,702,800",Barcelona,n409,Outdoor,Clay,2021,Rafael Nadal,57
84,416,"Rome, Italy","€2,563,710",ATP Masters 1000 Rome,n409,Outdoor,Clay,2021,Rafael Nadal,57
85,9665,"Melbourne, Australia","$521,000",Melbourne,n409,Outdoor,Hard,2022,Rafael Nadal,57
86,580,"Melbourne, Australia","A$33,784,200",Australian Open,n409,Outdoor,Hard,2022,Rafael Nadal,57
