index,WTA,Location,Tournament,Court,Surface,Winner,WRank,LRank,B365W,PSW,MaxW,AvgW,ATP,year
1.0_0.0_ASB Classic,1.0,Auckland,ASB Classic,Outdoor,Hard,Goerges J.,14.0,152.0,1.4,1.43,1.5,1.42,0.0,2019
2.0_0.0_Brisbane International,2.0,Brisbane,Brisbane International,Outdoor,Hard,Pliskova Ka.,8.0,27.0,1.61,1.62,1.67,1.6,0.0,2019
3.0_0.0_Shenzhen Open,3.0,Shenzhen,Shenzhen Open,Outdoor,Hard,Sabalenka A.,13.0,62.0,1.3,1.25,1.33,1.26,0.0,2019
4.0_0.0_Hobart International,4.0,Hobart,Hobart International,Outdoor,Hard,Kenin S.,56.0,77.0,1.44,1.46,1.5,1.44,0.0,2019
5.0_0.0_Sydney International,5.0,Sydney,Sydney International,Outdoor,Hard,Kvitova P.,8.0,15.0,1.8,1.93,1.93,1.84,0.0,2019
6.0_0.0_Australian Open,6.0,Melbourne,Australian Open,Outdoor,Hard,Osaka N.,4.0,6.0,2.05,2.03,2.13,2.03,0.0,2019
7.0_0.0_Thailand Open,7.0,Hua Hin,Thailand Open,Outdoor,Hard,Yastremska D.,47.0,49.0,1.4,1.5,1.51,1.43,0.0,2019
8.0_0.0_Ladies Trophy,8.0,St. Petersburg,Ladies Trophy,Indoor,Hard,Bertens K.,8.0,30.0,1.66,1.82,1.82,1.7,0.0,2019
9.0_0.0_Qatar Total Open,9.0,Doha,Qatar Total Open,Outdoor,Hard,Mertens E.,21.0,3.0,3.5,3.7,3.75,3.48,0.0,2019
10.0_0.0_Hungarian Ladies Open,10.0,Budapest,Hungarian Ladies Open,Indoor,Hard,Van Uytvanck A.,50.0,81.0,2.62,2.62,2.7,2.54,0.0,2019
11.0_0.0_Dubai Duty Free Tennis Championships,11.0,Dubai,Dubai Duty Free Tennis Championships,Outdoor,Hard,Bencic B.,45.0,4.0,3.0,3.11,3.2,2.99,0.0,2019
12.0_0.0_Abierto Mexicano,12.0,Acapulco,Abierto Mexicano,Outdoor,Clay,Wang Yaf.,65.0,35.0,2.37,2.71,2.72,2.51,0.0,2019
13.0_0.0_BNP Paribas Open,13.0,Indian Wells,BNP Paribas Open,Outdoor,Hard,Andreescu B.,60.0,8.0,2.5,2.55,2.72,2.48,0.0,2019
14.0_0.0_Sony Ericsson Open,14.0,Miami,Sony Ericsson Open,Outdoor,Hard,Barty A.,11.0,7.0,1.8,1.81,1.91,1.83,0.0,2019
15.0_0.0_Family Circle Cup,15.0,Charleston,Family Circle Cup,Outdoor,Clay,Keys M.,18.0,13.0,2.1,2.2,2.31,2.1,0.0,2019
16.0_0.0_Monterrey Open,16.0,Monterrey,Monterrey Open,Outdoor,Hard,Muguruza G.,19.0,67.0,2.37,2.52,2.52,2.34,0.0,2019
17.0_0.0_Copa Claro Colsanitas,17.0,Bogota,Copa Claro Colsanitas,Outdoor,Clay,Anisimova A.,76.0,138.0,1.44,1.53,1.53,1.48,0.0,2019
18.0_0.0_Samsung Open,18.0,Lugano,Samsung Open,Outdoor,Clay,Hercog P.,89.0,115.0,2.75,3.09,3.09,2.75,0.0,2019
