id,first_name,last_name,full_name,country,wealthy_parents,parent_on_wiki
89304,Novak,Djokovic,Novak Djokovic,Serbia,False,False
86928,Rafael,Nadal,Rafael Nadal,Spain,True,True
342990,Alexander,Zverev,Alexander Zverev,Germany,True,False
91668,Potro,Del,Potro Del,Argentina,False,
93378,Kevin,Anderson,Kevin Anderson,South Africa,False,False
86064,Roger,Federer,Roger Federer,Switzerland,True,False
94410,Kei,Nishikori,Kei Nishikori,Japan,True,False
262500,Dominic,Thiem,Dominic Thiem,Austria,True,False
96732,John,Isner,John Isner,USA,False,False
92334,Marin,Cilic,Marin Cilic,Croatia,False,False
540492,Karen,Khachanov,Karen Khachanov,Russia,False,False
734208,Stefanos,Tsitsipas,Stefanos Tsitsipas,Greece,True,False
387492,Borna,Coric,Borna Coric,Croatia,True,False
108678,Milos,Raonic,Milos Raonic,Canada,True,False
92616,Fabio,Fognini,Fabio Fognini,Italy,True,False
981036,Daniil,Medvedev,Daniil Medvedev,Russia,False,False
346230,Lucas,Pouille,Lucas Pouille,France,True,False
100332,Agut,Bautista,Agut Bautista,Spain,False,
267306,Marco,Cecchinato,Marco Cecchinato,Italy,False,False
291606,Diego,Schwartzman,Diego Schwartzman,Argentina,False,False
155040,David,Goffin,David Goffin,Belgium,False,False
157236,Nikoloz,Basilashvili,Nikoloz Basilashvili,Georgia,False,False
244812,Busta,Carreno,Busta Carreno,Spain,False,
141498,Grigor,Dimitrov,Grigor Dimitrov,Bulgaria,True,False
707508,Denis,Shapovalov,Denis Shapovalov,Canada,False,False
86940,Fernando,Verdasco,Fernando Verdasco,Spain,False,False
86496,Richard,Gasquet,Richard Gasquet,France,True,False
1207446,Minaur,De,Minaur De,Australia,False,
392304,Kyle,Edmund,Kyle Edmund,United Kingdom,False,False
606618,Frances,Tiafoe,Frances Tiafoe,USA,False,False
88428,Gilles,Simon,Gilles Simon,France,False,False
87756,Philipp,Kohlschreiber,Philipp Kohlschreiber,Germany,False,False
89076,Gael,Monfils,Gael Monfils,France,True,False
230970,Steve,Johnson,Steve Johnson,USA,True,False
94986,Jeremy,Chardy,Jeremy Chardy,France,False,False
198702,John,Millman,John Millman,Australia,False,False
88650,Andreas,Seppi,Andreas Seppi,Italy,False,False
95910,Martin,Klizan,Martin Klizan,Slovakia,False,False
226722,Joao,Sousa,Joao Sousa,Portugal,False,False
816264,Taylor,Fritz,Taylor Fritz,USA,True,False
537804,Nicolas,Jarry,Nicolas Jarry,Chile,True,False
235416,Dusan,Lajovic,Dusan Lajovic,Serbia,False,False
95130,Malek,Jaziri,Malek Jaziri,Tunisia,True,False
267330,Pierre,Herbert,Pierre Herbert,France,False,
98466,Matthew,Ebden,Matthew Ebden,Australia,False,False
95376,Adrian,Mannarino,Adrian Mannarino,France,True,False
286632,Marton,Fucsovics,Marton Fucsovics,Hungary,False,False
91818,Sam,Querrey,Sam Querrey,USA,True,False
93402,Leonardo,Mayer,Leonardo Mayer,Argentina,False,False
499278,Hyeon,Chung,Hyeon Chung,South Korea,False,False
278358,Jan,Struff,Jan Struff,Germany,False,
295044,Damir,Dzumhur,Damir Dzumhur,Bosnia & Herzegovina,False,False
676710,Matteo,Berrettini,Matteo Berrettini,Italy,False,False
96264,Robin,Haase,Robin Haase,Netherlands,False,False
100110,Mikhail,Kukushkin,Mikhail Kukushkin,Kazakhstan,False,False
97974,Marius,Copil,Marius Copil,Romania,False,False
87300,Stan,Wawrinka,Stan Wawrinka,Switzerland,False,False
133320,Benoit,Paire,Benoit Paire,France,False,False
219582,Denis,Kudla,Denis Kudla,USA,False,False
146520,Guido,Pella,Guido Pella,Argentina,False,False
526152,Jordan,Thompson,Jordan Thompson,Australia,False,False
97176,Peter,Gojowczyk,Peter Gojowczyk,Germany,False,False
86802,Feliciano,Lopez,Feliciano Lopez,Spain,False,False
575622,Cameron,Norrie,Cameron Norrie,United Kingdom,False,False
228144,Aljaz,Bedene,Aljaz Bedene,Slovenia,False,False
355698,Yoshihito,Nishioka,Yoshihito Nishioka,Japan,False,False
374952,Nick,Kyrgios,Nick Kyrgios,Australia,True,False
96078,Mischa,Zverev,Mischa Zverev,Germany,True,True
291804,Taro,Daniel,Taro Daniel,Japan,False,False
283782,Guido,Andreozzi,Guido Andreozzi,Argentina,False,False
100944,Vinolas,Ramos,Vinolas Ramos,Spain,False,
137832,Filip,Krajinovic,Filip Krajinovic,Serbia,False,False
953388,Hubert,Hurkacz,Hubert Hurkacz,Poland,False,False
306858,Baena,Carballes,Baena Carballes,Spain,False,
220080,Tennys,Sandgren,Tennys Sandgren,USA,False,False
429972,Maximilian,Marterer,Maximilian Marterer,Germany,False,False
211014,Federico,Delbonis,Federico Delbonis,Argentina,False,False
87174,Ivo,Karlovic,Ivo Karlovic,Croatia,False,False
87072,Tomáš,Berdych,Tomáš Berdych,Czech Republic,False,False
758148,Jaume,Munar,Jaume Munar,Spain,False,False
535932,Ilya,Ivashka,Ilya Ivashka,Belarus,False,False
380640,Mackenzie,Mcdonald,Mackenzie Mcdonald,USA,False,False
92604,Pablo,Andujar,Pablo Andujar,Spain,False,False
94362,Ernests,Gulbis,Ernests Gulbis,Latvia,True,False
99102,Thomas,Fabbiano,Thomas Fabbiano,Italy,False,False
102492,Bernard,Tomic,Bernard Tomic,Australia,True,False
230460,Bradley,Klahn,Bradley Klahn,USA,False,False
583398,Laslo,Djere,Laslo Djere,Serbia,False,False
342138,Jozef,Kovalik,Jozef Kovalik,Slovakia,False,False
267294,Radu,Albot,Radu Albot,Moldova,False,False
1112340,Ugo,Humbert,Ugo Humbert,France,True,False
94746,Pablo,Cuevas,Pablo Cuevas,Uruguay,False,False
137412,Ryan,Harrison,Ryan Harrison,USA,False,False
100686,Vasek,Pospisil,Vasek Pospisil,Canada,False,False
387432,Cristian,Garin,Cristian Garin,Chile,False,False
102114,Evgeny,Donskoy,Evgeny Donskoy,Russia,False,False
251154,Jiri,Vesely,Jiri Vesely,Czech Republic,False,False
782412,Reilly,Opelka,Reilly Opelka,USA,False,True
108408,Mirza,Basic,Mirza Basic,Bosnia & Herzegovina,False,False
640542,Andrey,Rublev,Andrey Rublev,Russia,False,False
107940,Pedro,Sousa,Pedro Sousa,Portugal,False,False
109302,Prajnesh,Gunneswaran,Prajnesh Gunneswaran,India,False,False
87918,Lopez,Garcia,Lopez Garcia,Spain,False,
137748,Ricardas,Berankis,Ricardas Berankis,Lithuania,False,False
94470,Denis,Istomin,Denis Istomin,Uzbekistan,False,False
1152090,Aliassime,Auger,Aliassime Auger,Canada,True,
285630,Thiago,Monteiro,Thiago Monteiro,Brazil,False,False
248238,Jack,Sock,Jack Sock,USA,True,False
93420,Marcel,Granollers,Marcel Granollers,Spain,False,False
788664,Michael,Mmoh,Michael Mmoh,USA,True,True
946860,Lloyd,Harris,Lloyd Harris,South Africa,False,False
283794,Juan,Londero,Juan Londero,Argentina,False,
629094,Lorenzo,Sonego,Lorenzo Sonego,Italy,False,False
89496,Paolo,Lorenzi,Paolo Lorenzi,Italy,False,False
380688,Jason,Jung,Jason Jung,Chinese Taipei,False,False
501978,Elias,Ymer,Elias Ymer,Sweden,False,True
231114,Marco,Trungelliti,Marco Trungelliti,Argentina,False,False
1191564,Miomir,Kecmanovic,Miomir Kecmanovic,Serbia,False,False
343746,Hugo,Dellien,Hugo Dellien,Bolivia,False,True
608802,Jared,Donaldson,Jared Donaldson,USA,False,False
97056,Peter,Polansky,Peter Polansky,Canada,False,False
526080,Yannick,Maden,Yannick Maden,Germany,,False
217812,Stefano,Travaglia,Stefano Travaglia,Italy,False,False
771324,Alexei,Popyrin,Alexei Popyrin,Australia,,False
96252,Maceiras,Menendez,Maceiras Menendez,Spain,False,
715500,Casper,Ruud,Casper Ruud,Norway,True,True
94836,Lukas,Lacko,Lukas Lacko,Slovakia,False,False
88644,Marcos,Baghdatis,Marcos Baghdatis,Cyprus,False,False
350226,Alex,Bolt,Alex Bolt,Australia,False,False
238368,Jason,Kubler,Jason Kubler,Australia,False,False
332574,Bjorn,Fratangelo,Bjorn Fratangelo,USA,False,False
102036,Ruben,Bemelmans,Ruben Bemelmans,Belgium,False,False
353274,Ramkumar,Ramanathan,Ramkumar Ramanathan,India,False,False
427692,Thanasi,Kokkinakis,Thanasi Kokkinakis,Australia,False,False
89334,Carlos,Berlocq,Carlos Berlocq,Argentina,False,False
89430,Sergiy,Stakhovsky,Sergiy Stakhovsky,Ukraine,False,False
544800,Quentin,Halys,Quentin Halys,France,False,False
91872,Simone,Bolelli,Simone Bolelli,Italy,False,False
96534,Silva,Dutra,Silva Dutra,Brazil,False,
97728,Lukas,Rosol,Lukas Rosol,Czech Republic,False,True
107766,Tatsuma,Ito,Tatsuma Ito,Japan,False,False
102120,Henri,Laaksonen,Henri Laaksonen,Switzerland,False,False
1050096,Corentin,Moutet,Corentin Moutet,France,False,False
91398,Matthias,Bachinger,Matthias Bachinger,Germany,False,False
568494,Antoine,Hoang,Antoine Hoang,France,True,False
376752,Constant,Lestienne,Constant Lestienne,France,False,False
229110,Facundo,Bagnis,Facundo Bagnis,Argentina,False,False
86436,David,Ferrer,David Ferrer,Spain,False,False
261540,Jurgen,Zopp,Jurgen Zopp,Estonia,False,False
390108,Noah,Rubin,Noah Rubin,USA,False,False
137814,Yuki,Bhambri,Yuki Bhambri,India,False,False
303774,Gianluigi,Quinzi,Gianluigi Quinzi,Italy,False,False
107004,Luca,Vanni,Luca Vanni,Italy,False,False
355836,Dennis,Novak,Dennis Novak,Austria,False,False
402936,Gregoire,Barrere,Gregoire Barrere,France,False,False
652266,Kamil,Majchrzak,Kamil Majchrzak,Poland,False,False
1185108,Christopher,Eubanks,Christopher Eubanks,USA,False,False
99054,Yuichi,Sugita,Yuichi Sugita,Japan,False,False
287862,Yannick,Hanfmann,Yannick Hanfmann,Germany,False,False
776220,Dominik,Koepfer,Dominik Koepfer,Germany,False,False
295710,Egor,Gerasimov,Egor Gerasimov,Belarus,False,False
463350,Pedro,Martinez,Pedro Martinez,Spain,False,False
98262,Daniel,Evans,Daniel Evans,United Kingdom,False,False
398832,Brayden,Schnur,Brayden Schnur,Canada,False,False
374436,Oscar,Otte,Oscar Otte,Germany,False,False
505530,Filippo,Baldi,Filippo Baldi,Italy,False,False
101010,Alessandro,Giannessi,Alessandro Giannessi,Italy,False,False
484002,Marc,Polmans,Marc Polmans,Australia,False,False
355872,Salvatore,Caruso,Salvatore Caruso,Italy,False,False
278352,Yasutaka,Uchiyama,Yasutaka Uchiyama,Japan,False,False
980892,Alexander,Bublik,Alexander Bublik,Kazakhstan,False,False
307950,Darian,King,Darian King,Barbados,False,False
438108,Pedja,Krstin,Pedja Krstin,Serbia,False,False
446646,Nikola,Milojevic,Nikola Milojevic,Serbia,False,False
96354,Andrea,Arnaboldi,Andrea Arnaboldi,Italy,False,False
500394,Sebastian,Ofner,Sebastian Ofner,Austria,False,False
194808,Hiroki,Moriya,Hiroki Moriya,Japan,False,False
232770,Roberto,Quiroz,Roberto Quiroz,Ecuador,False,False
314784,Alexey,Vatutin,Alexey Vatutin,Russia,False,False
99330,James,Ward,James Ward,United Kingdom,False,False
146502,Andrej,Martin,Andrej Martin,Slovakia,False,False
1254630,Rudolf,Molleker,Rudolf Molleker,Germany,False,False
943824,Yosuke,Watanuki,Yosuke Watanuki,Japan,False,False
87888,Gilles,Müller,Gilles Müller,Luxembourg,False,False
98148,Daniel,Brands,Daniel Brands,Germany,False,False
92820,Viktor,Troicki,Viktor Troicki,Serbia,False,False
95586,Tim,Smyczek,Tim Smyczek,USA,False,False
451434,Mats,Moraing,Mats Moraing,Germany,False,True
88776,Traver,Gimeno,Traver Gimeno,Spain,False,
96972,Horacio,Zeballos,Horacio Zeballos,Argentina,False,False
152754,Aleksandr,Nedovyesov,Aleksandr Nedovyesov,Kazakhstan,False,False
252924,Stefano,Napolitano,Stefano Napolitano,Italy,False,False
268266,Facundo,Arguello,Facundo Arguello,Argentina,False,False
912300,Mikael,Ymer,Mikael Ymer,Sweden,False,True
329742,Kimmer,Coppejans,Kimmer Coppejans,Belgium,False,False
87060,Nicolas,Mahut,Nicolas Mahut,France,False,False
1200966,Jurij,Rodionov,Jurij Rodionov,Austria,False,False
831288,Tommy,Paul,Tommy Paul,USA,False,False
355956,Adam,Pavlasek,Adam Pavlasek,Czech Republic,False,False
252186,Mohamed,Safwat,Mohamed Safwat,Egypt,False,False
87450,Stéphane,Robert,Stéphane Robert,France,False,False
229662,Greef,De,Greef De,Belgium,False,
94434,Donald,Young,Donald Young,USA,True,False
86022,Tommy,Robredo,Tommy Robredo,Spain,False,False
152742,Blaz,Rola,Blaz Rola,Slovenia,False,False
482958,Ernesto,Escobedo,Ernesto Escobedo,Mexico,False,True
416712,Matteo,Donati,Matteo Donati,Italy,False,False
230346,Ze,Zhang,Ze Zhang,China,False,False
313668,Mitchell,Krueger,Mitchell Krueger,USA,False,False
90552,Jo,Tsonga,Jo Tsonga,France,True,
734220,Tallon,Griekspoor,Tallon Griekspoor,Netherlands,False,True
1186866,Jay,Clarke,Jay Clarke,United Kingdom,False,False
343974,Joao,Domingues,Joao Domingues,Portugal,False,False
102240,John,Smith,John Smith,Australia,False,False
97704,Blaz,Kavcic,Blaz Kavcic,Slovenia,False,False
150156,Sergio,Gutiérrez-Ferrol,Sergio Gutiérrez-Ferrol,Spain,False,False
94446,Go,Soeda,Go Soeda,Japan,False,False
95760,Tobias,Kamke,Tobias Kamke,Germany,False,False
233460,Filip,Horansky,Filip Horansky,Slovakia,False,False
487638,Calvin,Hemery,Calvin Hemery,France,,False
311028,Marcelo,Arevalo,Marcelo Arevalo,El Salvador,False,False
645762,Maxime,Janvier,Maxime Janvier,France,,False
96888,Thomaz,Bellucci,Thomaz Bellucci,Brazil,False,False
417012,Gianluca,Mager,Gianluca Mager,Italy,False,False
90768,Andy,Murray,Andy Murray,United Kingdom,True,False
141996,Federico,Gaio,Federico Gaio,Italy,False,False
291768,Lorenzo,Giustino,Lorenzo Giustino,Italy,False,False
