,Name,Rank,Association
a0e2,Carlos Alcaraz,1,ATP
mm58,Daniil Medvedev,2,ATP
d643,Novak Djokovic,3,ATP
rh16,Casper Ruud,4,ATP
te51,Stefanos Tsitsipas,5,ATP
r0dg,Holger Rune,6,ATP
re44,Andrey Rublev,7,ATP
s0ag,Jannik Sinner,8,ATP
fb98,Taylor Fritz,9,ATP
ag37,Felix Auger-Aliassime,10,ATP
ke29,Karen Khachanov,11,ATP
td51,Frances Tiafoe,12,ATP
hb71,Hubert Hurkacz,13,ATP
n771,Cameron Norrie,14,ATP
n409,Rafael Nadal,15,ATP
cg80,Borna Coric,16,ATP
pl56,Tommy Paul,17,ATP
m0ej,Lorenzo Musetti,18,ATP
dh58,Alex de Minaur,19,ATP
bk40,Matteo Berrettini,20,ATP
cd85,Pablo Carreno Busta,21,ATP
c977,Marin Cilic,22,ATP
bd06,Roberto Bautista Agut,23,ATP
e687,Daniel Evans,24,ATP
ke17,Nick Kyrgios,25,ATP
sl28,Jan-Lennard Struff,26,ATP
z355,Alexander Zverev,27,ATP
c0au,Francisco Cerundolo,28,ATP
k0ah,Sebastian Korda,29,ATP
v812,Botic van de Zandschulp,30,ATP
su55,Denis Shapovalov,31,ATP
n732,Yoshihito Nishioka,32,ATP
d875,Grigor Dimitrov,33,ATP
dh50,Alejandro Davidovich Fokina,34,ATP
s0s1,Ben Shelton,35,ATP
ki95,Miomir Kecmanovic,36,ATP
z419,Bernabe Zapata Miralles,37,ATP
hh26,Ugo Humbert,38,ATP
gj37,Tallon Griekspoor,39,ATP
l0bv,Jiri Lehecka,40,ATP
mc10,Andy Murray,41,ATP
c0bc,Maxime Cressy,42,ATP
rh24,Emil Ruusuvuori,43,ATP
b0bi,Sebastian Baez,44,ATP
su87,Lorenzo Sonego,45,ATP
ea24,Tomas Martin Etcheverry,46,ATP
me82,Adrian Mannarino,47,ATP
bk92,Alexander Bublik,48,ATP
w09g,J.J. Wolf,49,ATP
g628,Richard Gasquet,50,ATP
l987,Dusan Lajovic,51,ATP
n0ae,Brandon Nakashima,52,ATP
y268,Mikael Ymer,53,ATP
j551,Nicolas Jarry,54,ATP
bk24,Gregoire Barrere,55,ATP
mk66,Mackenzie McDonald,56,ATP
db63,Laslo Djere,57,ATP
cf59,Roberto Carballes Baena,58,ATP
wb32,Yibing Wu,59,ATP
d0co,Jack Draper,60,ATP
mw02,Corentin Moutet,61,ATP
kc56,Aslan Karatsev,62,ATP
cg04,Pedro Cachin,63,ATP
h997,Yannick Hanfmann,64,ATP
bm95,Benjamin Bonzi,65,ATP
r772,Albert Ramos-Vinolas,66,ATP
ph71,Max Purcell,67,ATP
kb95,Jason Kubler,68,ATP
lb66,Constant Lestienne,69,ATP
z371,Zhizhen Zhang,70,ATP
tc61,Jordan Thompson,71,ATP
ae14,Daniel Altmaier,72,ATP
cf01,Marco Cecchinato,73,ATP
gc88,Marcos Giron,74,ATP
e865,Christopher Eubanks,75,ATP
bt72,Nuno Borges,76,ATP
mu94,Jaume Munar,77,ATP
rc91,Arthur Rinderknech,78,ATP
v0dz,Luca Van Assche,79,ATP
f724,Marton Fucsovics,80,ATP
hh06,Marc-Andrea Huesler,81,ATP
p09z,Alexei Popyrin,82,ATP
mv14,Alex Molcan,83,ATP
s0h2,Alexander Shevchenko,84,ATP
o483,Christopher O'Connell,85,ATP
i305,Ilya Ivashka,86,ATP
hb64,Quentin Halys,87,ATP
w367,Stan Wawrinka,88,ATP
i186,John Isner,89,ATP
ge33,Daniel Elahi Galan,90,ATP
tb69,Dominic Thiem,91,ATP
kb05,Filip Krajinovic,92,ATP
sm37,Diego Schwartzman,93,ATP
ce77,Federico Coria,94,ATP
v832,Aleksandar Vukic,95,ATP
mj08,Thiago Monteiro,96,ATP
v836,Juan Pablo Varillas,97,ATP
sx50,Roman Safiullin,98,ATP
b0cd,Jenson Brooksby,99,ATP
mp20,Alexandre Muller,100,ATP
kf17,Soonwoo Kwon,101,ATP
ke73,Dominik Koepfer,102,ATP
gh92,Borna Gojo,103,ATP
c0c8,Juan Manuel Cerundolo,104,ATP
a0fc,Matteo Arnaldi,105,ATP
gd64,Cristian Garin,106,ATP
kd46,Thanasi Kokkinakis,107,ATP
g09o,Hugo Gaston,108,ATP
d994,James Duckworth,109,ATP
da81,Taro Daniel,110,ATP
a829,Radu Albot,111,ATP
f0f1,Arthur Fils,112,ATP
gb88,David Goffin,113,ATP
k0az,Aleksandar Kovacevic,114,ATP
m0ci,Fabian Marozsan,115,ATP
s0la,Dominic Stricker,116,ATP
ga36,Emilio Gomez,117,ATP
o513,Sebastian Ofner,118,ATP
v0am,Otto Virtanen,119,ATP
o449,Oscar Otte,120,ATP
k09f,Pavel Kotov,121,ATP
gf95,Hugo Grenier,122,ATP
mp01,Michael Mmoh,123,ATP
bf23,Facundo Bagnis,124,ATP
p09o,Zsombor Piros,125,ATP
wb08,Yosuke Watanuki,126,ATP
m0fh,Tomas Machac,127,ATP
p0ct,Francesco Passaro,128,ATP
z0a1,Giulio Zeppieri,129,ATP
f510,Fabio Fognini,130,ATP
bu13,Zizou Bergs,131,ATP
gb93,Norbert Gombos,132,ATP
ki63,Lukas Klein,133,ATP
r09x,Jurij Rodionov,134,ATP
mo44,Pedro Martinez,135,ATP
h0bh,Rinky Hijikata,136,ATP
d0cg,Facundo Diaz Acosta,137,ATP
bo10,Gijs Brouwer,138,ATP
kb09,Denis Kudla,139,ATP
bi23,Liam Broady,140,ATP
bv24,Raul Brancaccio,141,ATP
m0jz,Filip Misolic,142,ATP
kc04,Jozef Kovalik,143,ATP
mn13,Maximilian Marterer,144,ATP
bs86,Tomas Barrios Vera,145,ATP
d0f6,Gabriel Diallo,146,ATP
s0gr,Timofey Skatov,147,ATP
va08,Andrea Vavassori,148,ATP
pd31,Benoit Paire,149,ATP
u182,Camilo Ugo Carabelli,150,ATP
n0bg,Luca Nardi,151,ATP
